C14,C1,V317,V308,card6,V306,V126,C11,C6,V282,TransactionAmt,V53,P_emaildomain,card5,C13,V35,V280,V279,card2,V258,M6,V90,V82,TransactionDT,C2,V87,V294,C12,V313,id_06,isFraud,TransactionID
2.0,2.0,0.0,0.0,1,0.0,117.0,1.0,1.0,1.0,117.0,1.0,16,226.0,3.0,0.0,0.0,0.0,553.0,1.0,0,1.0,1.0,7515825,2.0,1.0,0.0,0.0,0.0,0.0,0,3290723
1.0,2.0,0.0,150.0,1,150.0,150.0,1.0,2.0,2.0,150.0,0.579823981542689,16,226.0,2.0,0.5436524207538244,1.0,1.0,111.0,1.0,0,0.40372267034599874,0.8435310974315432,1269652,1.0,1.0,0.0,0.0,0.0,0.0,0,3040805
1.0,1.0,0.0,50.0,2,0.0,0.0,1.0,2.0,0.0,55.0,0.0,53,226.0,10.0,0.0,1.0,0.0,111.0,1.0,1,0.0,1.0,4627899,3.0,1.0,0.0,0.0,0.0,0.0,0,3189030
1.0,2.0,0.0,0.0,1,0.0,1052.0,1.0,1.0,1.0,1104.0,1.0,53,102.0,2.0,1.0,0.0,0.0,170.0,1.0,1,0.0,1.0,15029674,2.0,2.0,0.0,0.0,0.0,0.0,0,3554076
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,2.0,1.0,97.95,1.0,23,224.0,6.0,1.0,0.0,0.0,543.0,1.0,1,1.0,0.0,14393052,2.0,1.0,0.0,0.0,50.95000076293945,0.0,0,3532032
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,117.0,1.0,16,226.0,1.0,1.0,0.0,0.0,490.0,1.0,1,0.0,1.0,9840713,1.0,1.0,0.0,0.0,0.0,0.0,0,3379189
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,29.0,1.0,16,224.0,1.0,1.0,0.0,0.0,512.0,1.0,0,0.0,1.0,13815981,1.0,1.0,0.0,0.0,0.0,0.0,0,3512657
1.0,2.0,0.0,0.0,2,0.0,98.0,1.0,1.0,0.0,49.0,1.0,16,226.0,1.0,1.0,0.0,0.0,100.0,1.0,1,0.0,0.0,14102395,1.0,1.0,0.0,0.0,0.0,0.0,0,3522743
7.0,9.0,26.0,0.0,2,0.0,0.0,2.0,3.0,0.0,34.0,1.0,31,226.0,25.0,1.0,0.0,0.0,174.0,1.0,1,0.0,1.0,4221758,5.0,1.0,1.0,0.0,0.0,0.0,1,3175929
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,27.672,0.0,16,166.0,1.0,0.0,0.0,0.0,546.0,1.0,0,0.0,1.0,9323355,1.0,1.0,0.0,1.0,0.0,0.0,0,3361262
0.0,2.0,0.0,0.0,2,0.0,0.0,2.0,1.0,1.0,774.0,0.0,16,166.0,0.0,1.0,0.0,0.0,194.0,1.0,0,0.0,1.0,7524633,2.0,1.0,0.0,0.0,0.0,0.0,0,3291192
4.0,4.0,0.0,0.0,2,0.0,0.0,2.0,2.0,0.0,107.95,0.0,2,226.0,13.0,1.0,0.0,0.0,383.0,1.0,1,1.0,0.0,10508453,1.0,1.0,0.0,0.0,0.0,0.0,0,3402683
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,150.0,0.579823981542689,19,166.0,1.0,0.5436524207538244,0.0,0.0,111.0,1.0,0,0.40372267034599874,0.8435310974315432,2256770,1.0,1.0,0.0,0.0,0.0,0.0,0,3103780
4.0,4.0,0.0,30.0,2,0.0,0.0,2.0,2.0,0.0,47.95,1.0,2,226.0,14.0,1.0,1.0,0.0,558.0,1.0,0,1.0,1.0,7900974,4.0,1.0,0.0,0.0,0.0,0.0,0,3304054
3.0,3.0,0.0,311.95001220703125,2,0.0,0.0,1.0,1.0,0.0,83.97,0.0,19,224.0,8.0,1.0,1.0,0.0,111.0,1.0,1,1.0,0.0,842953,1.0,1.0,0.0,0.0,0.0,0.0,0,3020780
116.0,140.0,17.950000762939453,0.0,2,0.0,0.0,113.0,102.0,0.0,47.95,0.0,53,224.0,569.0,0.0,0.0,0.0,543.0,1.0,0,1.0,1.0,10888289,147.0,1.0,1.0,0.0,0.0,0.0,0,3418235
4.0,4.0,0.0,323.0,2,97.0,97.0,3.0,1.0,0.0,97.0,0.0,16,226.0,20.0,1.0,2.0,1.0,490.0,1.0,0,0.0,1.0,12069634,2.0,1.0,0.0,0.0,0.0,0.0,0,3455068
2.0,2.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,100.95,1.0,16,226.0,23.0,0.5436524207538244,0.0,0.0,111.0,1.0,1,1.0,0.0,5436919,2.0,1.0,0.0,0.0,0.0,0.0,0,3216516
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,664.0,1.0,53,224.0,3.0,1.0,0.0,0.0,480.0,1.0,0,0.0,1.0,3843499,2.0,1.0,0.0,0.0,0.0,0.0,0,3163575
1.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1679.95,0.0,53,226.0,1.0,1.0,0.0,0.0,583.0,1.0,1,0.0,1.0,7691153,1.0,1.0,0.0,0.0,0.0,0.0,0,3296472
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,59.0,0.0,16,226.0,1.0,0.0,0.0,0.0,416.0,1.0,0,0.0,1.0,4640162,1.0,1.0,0.0,0.0,0.0,0.0,0,3189550
3.0,3.0,0.0,49.5,2,0.0,54.5,1.0,1.0,1.0,29.0,1.0,16,166.0,5.0,0.0,2.0,0.0,501.0,1.0,1,0.0,1.0,13210040,1.0,1.0,0.0,1.0,25.0,0.0,0,3491574
1.0,1.0,0.0,39.0,2,0.0,0.0,1.0,1.0,0.0,15.0,0.0,16,226.0,3.0,0.5436524207538244,1.0,0.0,490.0,1.0,0,0.0,1.0,15278854,1.0,1.0,0.0,1.0,0.0,0.0,0,3561936
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,117.0,0.0,2,226.0,33.0,0.0,0.0,0.0,418.0,1.0,1,0.0,1.0,2925289,1.0,1.0,0.0,0.0,0.0,0.0,0,3129222
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,75.0,0.579823981542689,16,226.0,1.0,0.5436524207538244,0.0,0.0,490.0,1.0,0,0.40372267034599874,0.8435310974315432,1917219,1.0,1.0,0.0,0.0,0.0,0.0,0,3079993
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,59.0,1.0,53,226.0,3.0,1.0,0.0,0.0,579.0,1.0,0,0.0,1.0,12054961,1.0,1.0,0.0,0.0,0.0,0.0,0,3454458
1.0,1.0,0.0,125.0,2,0.0,0.0,1.0,0.0,1.0,80.0,0.579823981542689,16,226.0,4.0,0.5436524207538244,1.0,0.0,298.0,1.0,0,0.40372267034599874,0.8435310974315432,4133438,2.0,1.0,0.0,0.0,100.0,-11.0,0,3172731
0.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,150.0,0.579823981542689,16,199.0,0.0,0.5436524207538244,0.0,0.0,555.0,1.0,0,0.40372267034599874,0.8435310974315432,398529,1.0,1.0,0.0,0.0,0.0,-100.0,0,3000543
2.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,125.0,0.579823981542689,16,162.0,2.0,0.5436524207538244,0.0,0.0,111.0,1.0,0,0.40372267034599874,0.8435310974315432,6666756,2.0,1.0,0.0,0.0,0.0,0.0,0,3262008
0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,72.625,0.0,19,224.0,0.0,0.0,0.0,0.0,500.0,1.0,0,0.0,1.0,5791564,1.0,1.0,0.0,1.0,0.0,0.0,0,3231114
1.0,1.0,819.97998046875,819.97998046875,1,819.97998046875,0.0,1.0,2.0,3.0,412.47,2.0,3,226.0,1.0,1.0,2.0,2.0,583.0,1.0,1,1.0,2.0,10721141,3.0,1.0,2.0,0.0,0.0,0.0,0,3410929
0.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,554.0,1.0,16,224.0,0.0,1.0,0.0,0.0,543.0,1.0,1,0.0,1.0,9848683,1.0,1.0,0.0,0.0,0.0,0.0,0,3379686
0.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,365.0,0.0,16,166.0,0.0,0.0,0.0,0.0,360.0,1.0,1,0.0,1.0,2413444,1.0,1.0,0.0,0.0,0.0,0.0,0,3109969
77.0,91.0,0.0,0.0,2,0.0,0.0,74.0,74.0,0.0,25.95,0.0,16,226.0,587.0,0.5436524207538244,0.0,0.0,321.0,1.0,1,1.0,1.0,4022230,84.0,1.0,0.0,0.0,0.0,0.0,0,3168655
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.579823981542689,53,226.0,1.0,0.5436524207538244,0.0,0.0,555.0,1.0,0,0.40372267034599874,0.8435310974315432,1534996,1.0,1.0,0.0,0.0,0.0,0.0,0,3054539
2.0,2.0,0.0,280.0,2,0.0,0.0,1.0,1.0,0.0,280.0,0.0,2,226.0,28.0,0.0,1.0,0.0,555.0,1.0,0,0.0,1.0,15337206,4.0,1.0,0.0,1.0,0.0,0.0,0,3563469
7.0,7.0,0.0,0.0,2,0.0,0.0,6.0,5.0,1.0,30.95,1.0,16,226.0,14.0,1.0,0.0,0.0,241.0,1.0,0,3.0,1.0,1395555,6.0,2.0,0.0,0.0,0.0,0.0,0,3048973
2.0,2.0,0.0,26.95000076293945,2,0.0,0.0,1.0,0.0,1.0,36.95,1.0,16,229.0,3.0,0.5436524207538244,1.0,0.0,360.0,1.0,1,1.0,0.0,12948134,1.0,1.0,0.0,0.0,26.95000076293945,0.0,0,3482384
5.0,5.0,0.0,100.0,1,40.0,40.0,2.0,0.0,0.0,20.0,0.579823981542689,16,195.0,120.0,0.5436524207538244,5.0,2.0,119.0,1.0,0,0.40372267034599874,0.8435310974315432,7760015,6.0,1.0,0.0,0.0,0.0,-1.0,0,3298629
2.0,2.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,25.95,1.0,58,226.0,23.0,0.0,0.0,0.0,457.0,1.0,1,1.0,1.0,15605716,1.0,1.0,0.0,1.0,0.0,0.0,0,3570399
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,100.0,0.579823981542689,34,226.0,1.0,0.5436524207538244,0.0,0.0,361.0,1.0,0,0.40372267034599874,0.8435310974315432,8093760,1.0,1.0,0.0,0.0,0.0,0.0,0,3315471
1.0,1.0,27.983999252319336,37.3120002746582,2,0.0,0.0,2.0,2.0,0.0,9.667,0.0,19,224.0,9.0,0.0,4.0,0.0,408.0,1.0,0,0.0,1.0,5160352,11.0,1.0,3.0,2.0,0.0,0.0,0,3206533
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,2.0,1.0,77.0,1.0,53,226.0,4.0,1.0,0.0,0.0,551.0,1.0,1,1.0,1.0,7492767,1.0,1.0,0.0,0.0,57.95000076293945,0.0,0,3289639
0.0,1.0,29.0,29.0,2,29.0,29.0,1.0,1.0,2.0,29.0,1.0,53,226.0,0.0,1.0,1.0,1.0,490.0,1.0,0,0.0,1.0,15728646,1.0,1.0,1.0,0.0,0.0,0.0,0,3574953
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,25.95,0.0,19,226.0,5.0,0.0,0.0,0.0,555.0,1.0,0,1.0,1.0,1527358,2.0,1.0,0.0,0.0,0.0,0.0,0,3053973
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,2.0,1.0,68.95,1.0,16,226.0,3.0,1.0,0.0,0.0,298.0,1.0,0,1.0,1.0,6581260,1.0,1.0,0.0,0.0,48.95000076293945,0.0,0,3258650
3.0,3.0,0.0,0.0,2,0.0,0.0,1.0,2.0,1.0,226.0,1.0,53,117.0,3.0,1.0,0.0,0.0,555.0,1.0,1,0.0,1.0,5270056,1.0,1.0,0.0,0.0,0.0,0.0,0,3210719
0.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,25.95,0.0,16,226.0,0.0,0.0,0.0,0.0,490.0,1.0,0,1.0,1.0,3215117,1.0,1.0,0.0,0.0,0.0,0.0,0,3142576
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,117.0,1.0,53,226.0,2.0,0.0,0.0,0.0,555.0,1.0,0,0.0,1.0,15045530,2.0,1.0,0.0,0.0,0.0,0.0,0,3554760
4.0,6.0,0.0,0.0,1,0.0,0.0,3.0,3.0,0.0,209.95,1.0,19,102.0,10.0,1.0,0.0,0.0,514.0,1.0,1,1.0,1.0,12343140,5.0,1.0,0.0,0.0,0.0,0.0,0,3463826
4.0,4.0,0.0,0.0,2,0.0,0.0,1.0,4.0,1.0,107.95,1.0,16,226.0,40.0,0.0,0.0,0.0,418.0,1.0,0,1.0,1.0,10177235,1.0,1.0,0.0,0.0,0.0,0.0,0,3390128
2.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,107.95,0.0,53,102.0,9.0,0.0,0.0,0.0,170.0,1.0,1,1.0,1.0,5971280,2.0,1.0,0.0,0.0,0.0,0.0,0,3237883
2.0,3.0,42.05239868164063,0.0,2,0.0,0.0,2.0,3.0,3.0,16.732,0.0,19,224.0,3.0,0.0,0.0,0.0,375.0,1.0,0,0.0,1.0,4422682,6.0,1.0,2.0,2.0,21.026199340820312,0.0,0,3183755
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.579823981542689,4,226.0,1.0,0.5436524207538244,0.0,0.0,321.0,1.0,0,0.40372267034599874,0.8435310974315432,2208266,1.0,1.0,0.0,0.0,0.0,0.0,0,3099865
7.0,10.0,0.0,0.0,2,0.0,0.0,5.0,5.0,1.0,35.95,1.0,16,126.0,10.0,1.0,0.0,0.0,360.0,1.0,0,1.0,1.0,15443487,10.0,2.0,0.0,0.0,0.0,0.0,0,3566324
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,834.0,1.0,2,117.0,1.0,1.0,0.0,0.0,225.0,1.0,1,0.0,1.0,1441150,1.0,1.0,0.0,0.0,0.0,0.0,0,3050054
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,117.0,1.0,16,226.0,3.0,1.0,0.0,0.0,555.0,1.0,1,0.0,1.0,671008,1.0,1.0,0.0,0.0,117.0,0.0,0,3013119
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,100.0,0.579823981542689,53,102.0,2.0,0.5436524207538244,0.0,0.0,404.0,1.0,0,0.40372267034599874,0.8435310974315432,8810716,1.0,1.0,0.0,0.0,0.0,0.0,0,3343077
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,35.351,0.0,19,102.0,1.0,0.0,0.0,0.0,545.0,1.0,0,0.0,1.0,11116302,1.0,1.0,0.0,1.0,0.0,0.0,0,3425539
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,0.0,1.0,59.0,1.0,16,226.0,1.0,0.5436524207538244,0.0,0.0,321.0,1.0,1,0.0,0.0,1641333,1.0,1.0,0.0,0.0,0.0,0.0,0,3061777
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,2.0,1.0,30.95,1.0,16,226.0,2.0,1.0,0.0,0.0,555.0,1.0,1,1.0,1.0,9818201,2.0,1.0,0.0,0.0,0.0,0.0,0,3377827
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,125.0,0.579823981542689,1,147.0,1.0,0.5436524207538244,0.0,0.0,277.0,1.0,0,0.40372267034599874,0.8435310974315432,9337035,1.0,1.0,0.0,0.0,0.0,0.0,0,3361892
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,34.0,1.0,53,226.0,1.0,1.0,0.0,0.0,111.0,1.0,1,0.0,1.0,4465707,1.0,1.0,0.0,0.0,0.0,0.0,0,3184293
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,150.0,0.579823981542689,30,226.0,1.0,0.5436524207538244,0.0,0.0,583.0,1.0,0,0.40372267034599874,0.8435310974315432,13912485,1.0,1.0,0.0,0.0,0.0,0.0,0,3516045
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,97.0,0.0,2,166.0,32.0,0.0,0.0,0.0,360.0,1.0,1,0.0,1.0,14571131,2.0,1.0,0.0,1.0,0.0,0.0,0,3538169
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,72.99,0.0,53,226.0,1.0,0.0,0.0,0.0,512.0,1.0,0,0.0,1.0,8521128,1.0,1.0,0.0,0.0,0.0,0.0,0,3332020
1.0,1.0,0.0,117.0,2,0.0,0.0,1.0,1.0,1.0,171.0,1.0,16,117.0,2.0,1.0,1.0,0.0,261.0,1.0,0,0.0,0.0,4394911,1.0,1.0,0.0,0.0,117.0,0.0,0,3182208
1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,33.714,0.0,16,147.0,1.0,0.5436524207538244,0.0,0.0,555.0,1.0,0,0.40372267034599874,0.8435310974315432,8824376,1.0,1.0,0.0,0.0,0.0,0.0,0,3343849
32.0,41.0,0.0,0.0,2,0.0,0.0,28.0,28.0,1.0,158.25,1.0,16,226.0,175.0,0.0,0.0,0.0,507.0,1.0,1,1.0,1.0,7878834,33.0,1.0,0.0,0.0,0.0,0.0,0,3303768
3.0,4.0,0.0,0.0,2,0.0,0.0,3.0,2.0,0.0,335.0,1.0,16,166.0,28.0,0.5436524207538244,0.0,0.0,297.0,1.0,0,0.0,0.0,15262806,6.0,1.0,0.0,1.0,0.0,0.0,0,3561048
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,226.0,1.0,16,226.0,1.0,1.0,0.0,0.0,555.0,1.0,1,0.0,1.0,11575943,1.0,1.0,0.0,1.0,0.0,0.0,0,3440373
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,139.95,1.0,53,166.0,4.0,1.0,0.0,0.0,268.0,1.0,0,1.0,1.0,11937392,1.0,1.0,0.0,0.0,93.97000122070312,0.0,0,3451394
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,57.95,0.0,2,166.0,12.0,0.0,0.0,0.0,490.0,1.0,1,1.0,1.0,8409501,2.0,1.0,0.0,0.0,0.0,0.0,0,3328452
